sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
彰化,彰化縣,52,細懸浮微粒,普通,2.2,0.4,56,52.9,36,14,6.7,8.3,1.6,2.1,355,"2024/02/13 17:00:00",0.3,16.1,30,1,120.541519,24.066,33
線西,彰化縣,74,細懸浮微粒,普通,1.4,0.26,52.1,50,44,21,6.6,8.2,1.5,2.5,354,"2024/02/13 17:00:00",0.4,24.7,47,1,120.469061,24.131672,34
二林,彰化縣,88,細懸浮微粒,普通,1.9,0.23,57.2,57,39,22,2.8,3.7,0.9,2.5,0,"2024/02/13 17:00:00",0.2,30.4,50,1,120.409653,23.925175,35
南投,南投縣,48,,良好,1.2,0.27,55.2,52.7,26,15,6.1,6.2,0,1.3,356,"2024/02/13 17:00:00",0.2,14.5,26,0,120.685306,23.913,36
斗六,雲林縣,55,細懸浮微粒,普通,1.8,0.24,60.6,56.4,32,16,4.1,4.9,0.8,2.7,339,"2024/02/13 17:00:00",0.2,17.3,29,1,120.544994,23.711853,37
崙背,雲林縣,70,細懸浮微粒,普通,1.7,0.24,56.1,54.3,41,20,3.5,4,0.5,1.6,345,"2024/02/13 17:00:00",0.2,23.4,44,1,120.348742,23.757547,38
新港,嘉義縣,75,細懸浮微粒,普通,1.8,0.21,60.1,58,36,15,4.7,5.7,1,2.6,331,"2024/02/13 17:00:00",0.2,25.2,42,1,120.345531,23.554839,39
朴子,嘉義縣,70,細懸浮微粒,普通,2.8,0.23,57.3,55.3,34,18,4.5,4.8,0.2,1.9,358,"2024/02/13 17:00:00",0.2,23.4,37,2,120.2478,23.46538,40
臺西,雲林縣,81,細懸浮微粒,普通,2,0.3,54.2,52.9,31,11,6.2,7.7,1.5,3.6,24,"2024/02/13 17:00:00",0.3,27.7,56,2,120.19933333,23.702175,41
嘉義,嘉義市,61,細懸浮微粒,普通,1.7,0.26,59.1,54.6,30,18,4.7,5.7,0.9,3.6,350,"2024/02/13 17:00:00",0.2,19.7,30,1,120.44125148,23.46477865,42
新營,臺南市,64,細懸浮微粒,普通,1.8,0.22,60.4,54,31,15,5.1,6.2,1.1,2.4,4,"2024/02/13 17:00:00",0.2,20.9,36,1,120.31725,23.305633,43
善化,臺南市,58,細懸浮微粒,普通,2.1,0.2,61.1,54.3,32,19,6.1,7.1,0.9,3.2,325,"2024/02/13 17:00:00",0.2,18.2,29,1,120.29740529,23.11337642,44
安南,臺南市,77,細懸浮微粒,普通,2.3,0.28,62.7,56,38,14,4.8,5.9,1.1,3.1,308,"2024/02/13 17:00:00",0.2,25.9,45,1,120.2175,23.048197,45
